547.945, 0.205481, 0.316770
548.246, 0.205719, 0.317047
548.546, 0.205958, 0.317323
548.847, 0.206197, 0.317598
549.149, 0.206438, 0.317872
549.451, 0.206679, 0.318145
549.753, 0.206921, 0.318416
550.055, 0.207164, 0.318687
550.358, 0.207408, 0.318957
550.661, 0.207653, 0.319226
550.964, 0.207899, 0.319493
551.268, 0.208145, 0.319760
551.572, 0.208392, 0.320025
551.876, 0.208640, 0.320290
552.181, 0.208889, 0.320553
552.486, 0.209139, 0.320816
552.792, 0.209389, 0.321077
553.097, 0.209640, 0.321337
553.403, 0.209892, 0.321596
553.710, 0.210145, 0.321855
554.017, 0.210399, 0.322112
554.324, 0.210653, 0.322368
554.631, 0.210908, 0.322622
554.939, 0.211164, 0.322876
555.247, 0.211421, 0.323129
555.556, 0.211678, 0.323381
555.864, 0.211936, 0.323631
556.174, 0.212195, 0.323881
556.483, 0.212455, 0.324129
556.793, 0.212715, 0.324377
557.103, 0.212976, 0.324623
557.414, 0.213238, 0.324868
557.724, 0.213500, 0.325112
558.036, 0.213764, 0.325356
558.347, 0.214028, 0.325597
558.659, 0.214292, 0.325838
558.971, 0.214557, 0.326078
559.284, 0.214823, 0.326317
559.597, 0.215090, 0.326555
559.910, 0.215357, 0.326791
560.224, 0.215626, 0.327027
560.538, 0.215894, 0.327261
560.852, 0.216164, 0.327494
561.167, 0.216434, 0.327727
561.482, 0.216704, 0.327958
561.798, 0.216976, 0.328188
562.114, 0.217248, 0.328417
562.430, 0.217520, 0.328645
562.746, 0.217794, 0.328872
563.063, 0.218068, 0.329097
563.380, 0.218342, 0.329322
563.698, 0.218617, 0.329546
564.016, 0.218893, 0.329768
564.334, 0.219169, 0.329990
564.653, 0.219446, 0.330210
564.972, 0.219724, 0.330429
565.291, 0.220002, 0.330648
565.611, 0.220281, 0.330865
565.931, 0.220560, 0.331081
566.251, 0.220840, 0.331296
566.572, 0.221121, 0.331510
566.893, 0.221402, 0.331723
567.215, 0.221684, 0.331935
567.537, 0.221966, 0.332146
567.859, 0.222249, 0.332355
568.182, 0.222532, 0.332564
568.505, 0.222816, 0.332772
568.828, 0.223101, 0.332978
569.152, 0.223386, 0.333184
569.476, 0.223672, 0.333388
569.801, 0.223958, 0.333591
570.125, 0.224244, 0.333794
570.451, 0.224532, 0.333995
570.776, 0.224819, 0.334195
571.102, 0.225108, 0.334395
571.429, 0.225396, 0.334593
571.755, 0.225686, 0.334790
572.082, 0.225975, 0.334986
572.410, 0.226266, 0.335181
572.738, 0.226556, 0.335375
573.066, 0.226848, 0.335568
573.394, 0.227139, 0.335760
573.723, 0.227432, 0.335951
574.053, 0.227724, 0.336141
574.383, 0.228018, 0.336330
